Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),search
BTC,8/27/20,11302.12096,11467.29065,11594.64626,11157.08574,14
BTC,8/28/20,11482.22569,11339.74802,11553.53918,11294.18591,14
BTC,8/29/20,11515.04443,11540.72864,11586.30657,11435.40076,14
BTC,8/30/20,11657.00393,11483.12875,11694.6708,11476.07202,15
BTC,8/31/20,11678.37326,11712.97262,11799.52944,11579.88329,15
BTC,9/1/20,11964.20867,11661.42734,12070.22741,11544.42003,15
BTC,9/2/20,11427.7026,11923.19964,11954.16268,11217.45383,15
BTC,9/3/20,10712.92065,11409.72633,11470.80702,10505.14681,15
BTC,9/4/20,10563.89694,10177.72164,10644.24117,10118.71861,15
BTC,9/5/20,10042.85485,10470.02669,10574.30731,9894.2254,15
BTC,9/6/20,10207.605,10174.86343,10355.65249,10014.27766,14
BTC,9/7/20,10381.77611,10265.74299,10383.11924,9891.734243,14
BTC,9/8/20,10043.19644,10381.67682,10444.17113,9868.937984,14
BTC,9/9/20,10268.46092,10136.56084,10352.41519,9989.510556,14
BTC,9/10/20,10341.01598,10230.63553,10483.56121,10224.03739,14
BTC,9/11/20,10380.5396,10347.66121,10403.75568,10214.66973,14
BTC,9/12/20,10436.36541,10400.85545,10484.8759,10286.42747,14
BTC,9/13/20,10313.06858,10450.94952,10585.88066,10226.42392,12
BTC,9/14/20,10680.29756,10337.71258,10759.1361,10281.58014,12
BTC,9/15/20,10829.50531,10683.00291,10944.65131,10636.18826,12
BTC,9/16/20,11033.38353,10792.31023,11103.79648,10683.79026,12
BTC,9/17/20,10937.11126,10966.38648,11061.28463,10762.41738,12
BTC,9/18/20,10933.93116,10947.23137,11035.0532,10830.85247,12
BTC,9/19/20,11048.87928,10940.13447,11180.39531,10904.19962,12
BTC,9/20/20,10852.91014,11085.429,11085.429,10773.33219,12
BTC,9/21/20,10526.20289,10925.51079,10991.69454,10322.59482,12
BTC,9/22/20,10531.16456,10423.27155,10579.30131,10371.91657,12
BTC,9/23/20,10260.03301,10536.31722,10541.16888,10209.06313,12
BTC,9/24/20,10672.95681,10241.16589,10712.49925,10200.88278,12
BTC,9/25/20,10729.06961,10736.65234,10759.7111,10569.43458,12
BTC,9/26/20,10741.47647,10692.46427,10777.57591,10657.52315,12
BTC,9/27/20,10752.34545,10734.50124,10802.37407,10599.58841,10
BTC,9/28/20,10863.06572,10776.30436,10948.06266,10776.30436,10
BTC,9/29/20,10764.28437,10691.97856,10793.60349,10640.69415,10
BTC,9/30/20,10741.57955,10843.38826,10849.73073,10672.79503,10
BTC,10/1/20,10626.60096,10778.89849,10931.6335,10470.69372,10
BTC,10/2/20,10567.3302,10624.91072,10670.71056,10386.91138,10
BTC,10/3/20,10555.02868,10578.91957,10609.23748,10512.33934,10
BTC,10/4/20,10660.61118,10559.31466,10702.51138,10535.82272,11
BTC,10/5/20,10756.40458,10672.16544,10770.46301,10630.95649,11
BTC,10/6/20,10589.62639,10793.15206,10798.98132,10543.48911,11
BTC,10/7/20,10645.75479,10600.66078,10680.64123,10554.84167,11
BTC,10/8/20,10897.59543,10669.07004,10949.34337,10544.3758,11
BTC,10/9/20,11052.39508,10929.59262,11106.33446,10843.4743,11
BTC,10/10/20,11360.85272,11059.81357,11484.16448,11058.74049,11
BTC,10/11/20,11334.02674,11293.20701,11436.21148,11282.50356,12
BTC,10/12/20,11666.2117,11372.10996,11723.64386,11210.86134,12
BTC,10/13/20,11443.73279,11534.60957,11564.64006,11333.53492,12
BTC,10/14/20,11395.54737,11431.09404,11540.06492,11302.77704,12
BTC,10/15/20,11504.54901,11433.45754,11610.2504,11291.89809,12
BTC,10/16/20,11355.16044,11511.9022,11544.48601,11227.07106,12
BTC,10/17/20,11358.70638,11329.99473,11410.16368,11282.94789,12
BTC,10/18/20,11471.00255,11368.41235,11486.98541,11356.17416,16
BTC,10/19/20,11776.593,11514.6451,11825.64774,11419.08229,16
BTC,10/20/20,11936.36291,11754.18203,11993.92588,11693.78394,16
BTC,10/21/20,13102.93446,11920.41139,13109.16597,11900.21384,16
BTC,10/22/20,13140.66928,12801.68807,13192.25287,12697.45705,16
BTC,10/23/20,12933.82357,12980.8801,13029.96389,12731.05779,16
BTC,10/24/20,13081.67256,12929.8494,13168.33883,12877.93801,16
BTC,10/25/20,13008.45326,13115.83352,13342.75028,12906.70059,17
BTC,10/26/20,13033.52427,13038.91554,13243.9959,12811.54603,17
BTC,10/27/20,13721.28222,13069.23614,13756.3317,13062.40879,17
BTC,10/28/20,13282.26035,13647.57292,13847.53352,12894.89932,17
BTC,10/29/20,13467.73178,13280.36559,13640.13894,12994.98437,17
BTC,10/30/20,13573.7105,13461.38352,13667.74723,13134.48008,17
BTC,10/31/20,13891.21683,13574.92722,14093.05295,13438.93538,17
BTC,11/1/20,13730.19731,13810.64198,13907.31295,13641.54034,19
BTC,11/2/20,13633.69822,13768.95676,13837.85118,13270.20734,19
BTC,11/3/20,13832.93841,13565.13068,13842.47454,13301.61195,19
BTC,11/4/20,14163.97682,14014.73488,14257.52971,13582.4022,19
BTC,11/5/20,15424.52768,14156.60864,15494.57817,14104.90209,19
BTC,11/6/20,15540.59659,15607.5055,15971.64142,15202.76451,19
BTC,11/7/20,14783.98168,15603.25854,15764.1047,14330.68183,19
BTC,11/8/20,15500.33425,14820.43647,15657.12904,14711.54819,20
BTC,11/9/20,15283.78014,15481.90608,15810.77379,14845.79176,20
